Product Code,Product Name,Product Price,Product Brand,Product Availability,Product Link
QX4401DB,1983 Betsey Clark DB,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Betsey-Clark-DB_p_25577.html
QX4239,1983 Brass Santa,$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Brass-Santa_p_16405.html
QX4117,1983 Caroling Owl,$18.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Caroling-Owl_p_16409.html
QX3039B,1983 Christmas Stocking,$28.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Christmas-Stocking_p_16416.html
QX3119,1983 Christmas Wreath,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Christmas-Wreath_p_16427.html
QX4289,1983 Cinnamon Bear #1,$29.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Cinnamon-Bear-1_p_16484.html
QX4029,1983 Clothespin Soldier #2,$14.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-Clothespin-Soldier-2_p_16418.html
QX2159,1983 Currier & Ives,$27.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Currier-Ives_p_16420.html
QX4796,1983 Embroidered Stocking,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Embroidered-Stocking_p_16426.html
QX2089,1983 First Christmas Together,$129.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-First-Christmas-Together_p_16428.html
QX2089,1983 First Christmas Together,$129.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-First-Christmas-Together_p_16428.html
QX4329,1983 First Christmas Together - Locket,$39.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-First-Christmas-Together--Locket_p_16432.html
QX2089DB,1983 First Christmas Together DB,$120.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-First-Christmas-Together-DB_p_25567.html
QX4007,1983 Frosty Friends #4,$154.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Frosty-Friends-4_p_13180.html
QX2017,1983 Godchild,$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Godchild_p_16437.html
QX4309,1983 Grandchild's First Christmas,$23.00,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-Grandchilds-First-Christmas_p_16438.html
QX4309DB,1983 Grandchild's First Christmas DB,$21.00,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Grandchilds-First-Christmas-DB_p_27651.html
QX2027B,1983 Granddaughter,$83.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Granddaughter_p_16440.html
QX2057,1983 Grandmother,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Grandmother_p_16441.html
QX2019,1983 Grandson,$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Grandson_p_16443.html
QX4127,1983 Holiday Puppy,$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Holiday-Puppy_p_16448.html
QX4079,1983 Jack Frost,$32.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Jack-Frost_p_16450.html
QX4259,1983 Jolly Santa,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Jolly-Santa_p_16451.html
QX4227,1983 Love,$17.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-Love_p_16454.html
QX4227,1983 Love,$17.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-Love_p_16454.html
QX4227,1983 Love,$17.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-Love_p_16454.html
QX4287,1983 Madonna And Child,$17.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Madonna-And-Child_p_16459.html
